Metrics,Early_Blight,Healthy,Late_Blight,accuracy,macro avg,weighted avg
precision,0.98125,0.9615384615384616,0.9716312056737588,0.9728395061728395,0.9714732224040734,0.9729368471035138
recall,0.9691358024691358,0.9803921568627451,0.9716312056737588,0.9728395061728395,0.9737197216685466,0.9728395061728395
f1-score,0.9751552795031055,0.970873786407767,0.9716312056737588,0.9728395061728395,0.9725534238615438,0.9728500777607292
support,162.0,102.0,141.0,0.9728395061728395,405.0,405.0
