Metrics,Early_Blight,Healthy,Late_Blight,accuracy,macro avg,weighted avg
precision,0.5916666666666667,0.7241379310344828,0.5564516129032258,0.6222222222222222,0.6240854035347917,0.6217564268940798
recall,0.5916666666666667,0.7304347826086957,0.552,0.6222222222222222,0.6247004830917874,0.6222222222222222
f1-score,0.5916666666666667,0.7272727272727272,0.5542168674698795,0.6222222222222222,0.6243854204697578,0.6219818668613849
support,120.0,115.0,125.0,0.6222222222222222,360.0,360.0
