Metrics,Early_Blight,Healthy,Late_Blight,accuracy,macro avg,weighted avg
precision,0.8416666666666667,0.8103448275862069,0.21774193548387097,0.6166666666666667,0.6232511432455815,0.775846104725415
recall,0.531578947368421,0.6762589928057554,0.8709677419354839,0.6166666666666667,0.6929352273698868,0.6166666666666667
f1-score,0.6516129032258065,0.7372549019607842,0.34838709677419355,0.6166666666666667,0.5790849673202614,0.6585691194040341
support,190.0,139.0,31.0,0.6166666666666667,360.0,360.0
