Metrics,Early_Blight,Healthy,Late_Blight,accuracy,macro avg,weighted avg
precision,0.825,0.45689655172413796,0.6612903225806451,0.65,0.6477289581015944,0.7096472932888394
recall,0.55,0.8983050847457628,0.6776859504132231,0.65,0.7086636783863286,0.65
f1-score,0.66,0.6057142857142858,0.6693877551020408,0.65,0.6450340136054422,0.6542585034013606
support,180.0,59.0,121.0,0.65,360.0,360.0
