Metrics,Early_Blight,Healthy,Late_Blight,accuracy,macro avg,weighted avg
precision,0.03333333333333333,0.3103448275862069,0.9838709677419355,0.45,0.44251637622049195,0.8894506241502905
recall,0.6666666666666666,0.8571428571428571,0.391025641025641,0.45,0.6382783882783882,0.45
f1-score,0.06349206349206349,0.45569620253164556,0.5596330275229358,0.45,0.3596070978488816,0.539238048540104
support,6.0,42.0,312.0,0.45,360.0,360.0
